Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes,total_cover_recalc
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,100,0,0,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,100,0,0,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,90,10,0,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,80,0,20,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,80,5,15,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,90,5,5,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,95,5,0,100,NA,NA,100
NA,NA,NA,NA,NA,100,0,0,100,NA,NA,100
NA,NA,NA,NA,NA,90,5,5,100,NA,NA,100
NA,NA,NA,NA,NA,70,0,30,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,85,5,10,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,95,5,0,100,NA,NA,100
NA,NA,NA,NA,NA,50,0,50,100,NA,NA,100
NA,NA,NA,NA,NA,85,0,15,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,85,0,15,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,20,10,70,100,NA,NA,100
NA,NA,NA,NA,NA,40,0,60,100,NA,NA,100
NA,NA,NA,NA,NA,50,0,50,100,NA,NA,100
NA,NA,NA,NA,NA,60,0,40,100,NA,NA,100
NA,NA,NA,NA,NA,50,0,50,100,NA,NA,100
NA,NA,NA,NA,NA,40,5,55,100,NA,NA,100
NA,NA,NA,NA,NA,10,10,80,100,NA,NA,100
NA,NA,NA,NA,NA,20,10,70,100,NA,NA,100
NA,NA,NA,NA,NA,20,5,75,100,NA,NA,100
NA,NA,NA,NA,NA,40,0,60,100,NA,NA,100
NA,NA,NA,NA,NA,40,5,55,100,NA,NA,100
NA,NA,NA,NA,NA,30,0,70,100,NA,NA,100
NA,NA,NA,NA,NA,65,0,35,100,NA,NA,100
NA,NA,NA,NA,NA,20,0,80,100,NA,NA,100
NA,NA,NA,NA,NA,20,0,80,100,NA,NA,100
NA,NA,NA,NA,NA,40,0,60,100,NA,NA,100
NA,NA,NA,NA,NA,60,0,40,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,50,10,40,100,NA,NA,100
NA,NA,NA,NA,NA,50,10,40,100,NA,NA,100
NA,NA,NA,NA,NA,30,0,70,100,NA,NA,100
NA,NA,NA,NA,NA,10,10,80,100,NA,NA,100
NA,NA,NA,NA,NA,80,0,20,100,NA,NA,100
NA,NA,NA,NA,NA,80,0,20,100,NA,NA,100
NA,NA,NA,NA,NA,70,5,25,100,NA,NA,100
NA,NA,NA,NA,NA,40,0,60,100,NA,NA,100
NA,NA,NA,NA,NA,30,10,60,100,NA,NA,100
NA,NA,NA,NA,NA,60,0,40,100,NA,NA,100
NA,NA,NA,NA,NA,75,5,20,100,NA,NA,100
NA,NA,NA,NA,NA,60,0,40,100,NA,NA,100
NA,NA,NA,NA,NA,60,10,30,100,NA,NA,100
NA,NA,NA,NA,NA,40,5,55,100,NA,NA,100
NA,NA,NA,NA,NA,50,0,50,100,NA,NA,100
NA,NA,NA,NA,NA,60,0,40,100,NA,NA,100
NA,NA,NA,NA,NA,10,15,75,100,NA,NA,100
NA,NA,NA,NA,NA,70,0,30,100,NA,NA,100
NA,NA,NA,NA,NA,80,0,20,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,95,0,5,100,NA,NA,100
NA,NA,NA,NA,NA,10,25,65,100,NA,NA,100
NA,NA,NA,NA,NA,40,5,55,100,NA,NA,100
NA,NA,NA,NA,NA,50,5,45,100,NA,NA,100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,60,20,20,100,NA,NA,100
NA,NA,NA,NA,NA,10,5,85,100,NA,NA,100
NA,NA,NA,NA,NA,50,0,50,100,NA,NA,100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,20,20,60,100,NA,NA,100
NA,NA,NA,NA,NA,10,10,80,100,NA,NA,100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,0,0,100,100,NA,NA,100
NA,NA,NA,NA,NA,90,0,10,100,NA,NA,100
NA,NA,NA,NA,NA,60,30,10,100,NA,NA,100
NA,NA,NA,NA,NA,15,20,65,100,NA,NA,100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,100,0,0,100,NA,NA,100
NA,NA,NA,NA,NA,40,0,60,100,NA,NA,100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
